#ID;Baumart;Baumart-Code;Beschrieb;Aufnahme-Datum;BHD;D7m;SchaftLaenge_m
248;Fichte;100;187;2019;27.626147075046585;0;24.9004526416915
249;Fichte;100;194;2019;30.733136302882304;0;26.98588276451606
250;Fichte;100;195;2019;30.30380404447044;0;26.62682267265636
251;Fichte;100;197;2019;1.6961439149226376;0;3.209033981545559
252;Ahorn;203;197;2019;1.509768186942198;0;2.628309540380877
253;Ubrige Laubholzer;299;197;2019;1.5130875913544946;0;3.276654258157048
254;Ubrige Laubholzer;299;197;2019;1.5130875913544946;0;3.276654258157048
255;Ubrige Laubholzer;299;197;2019;1.5130875913544946;0;3.276654258157048
256;Fichte;100;3;2020;35.441494114578546;0;29.231395389707927
257;Ubrige Laubholzer;299;10;2020;1.0384816138027215;0;2.582558855247056
258;Ubrige Laubholzer;299;10;2020;1.0760603614681488;0;2.489670047901292
259;Ubrige Laubholzer;299;11;2020;1.6662445579671077;0;3.283182224071402
260;Ubrige Laubholzer;299;11;2020;1.6662445579671077;0;3.283182224071402
261;Ubrige Nadelholzer;199;11;2020;1.7694363938306898;0;3.615765936630135
262;Fichte;100;41;2020;1.872325961163412;0;3.414192657886925
263;Ahorn;203;43;2020;1.5004551986107504;0;2.6184593378620593
264;Ahorn;203;43;2020;1.5004551986107504;0;2.6184593378620593
265;Ahorn;203;43;2020;1.5004551986107504;0;2.6184593378620593
266;Ahorn;203;43;2020;1.5004551986107504;0;2.6184593378620593
267;Ahorn;203;43;2020;1.5004551986107504;0;2.6184593378620593
268;Ahorn;203;43;2020;1.5004551986107504;0;2.6184593378620593
269;Ahorn;203;43;2020;1.5004551986107504;0;2.6184593378620593
270;Ahorn;203;43;2020;1.5004551986107504;0;2.6184593378620593
271;Ahorn;203;43;2020;1.5004551986107504;0;2.6184593378620593
272;Ahorn;203;43;2020;1.5004551986107504;0;2.6184593378620593
273;Ahorn;203;43;2020;1.5004551986107504;0;2.6184593378620593
274;Ahorn;203;43;2020;1.5004551986107504;0;2.6184593378620593
